Food_item,Mass,Burner_size,order1
Boiled egg,200,medium,2
Chicken soup,100,medium,0
Maggie,200,medium,3
Water,1000,medium,1
Mutton masala,400,medium,-1
Tea,600,medium,2
Milk,1000,medium,0
Idli,500,medium,0
Water,200,medium,1
Chicken soup,500,medium,-1
Idli,700,medium,0
Boiled egg,200,small,2
Chicken soup,100,small,0
Maggie,200,small,3
Water,1000,small,1
Mutton masala,400,small,-1
Tea,600,small,2
Milk,1000,small,0
Idli,500,small,0
Water,200,small,1
Chicken soup,500,small,-1
Idli,700,small,0
Boiled egg,200,large,2
Chicken soup,100,large,0
Maggie,200,large,3
Water,1000,large,1
Mutton masala,400,large,-1
Tea,600,large,2
Milk,1000,large,0
Idli,500,large,0
Water,200,large,1
Chicken soup,500,large,-1
Idli,700,large,0
